x,y,z,p
-30.68,49.16,-9.14,1.0
-14.91,42.83,-4.28,1.0
-30.81,49.36,-9.16,1.0
-81.04,104.19,-24.22,1.0
3.11,79.61,1.61,1.0
1.69,77.31,1.16,1.0
-23.56,75.67,-6.68,1.0
51.57,98.72,16.85,1.0
1.04,10.89,0.42,1.0
-21.23,74.97,-5.91,1.0
-21.14,141.27,-5.28,1.0
-2.96,13.5,-0.79,5.0
-20.66,141.39,-5.11,1.0
-21.19,74.87,-5.86,1.0
-9.05,23.98,-2.58,1.0
-4.12,14.03,-1.14,5.0
-51.07,18.3,-15.62,1.0
-4.39,14.46,-1.21,5.0
-4.12,14.42,-1.13,5.0
40.3,84.45,13.35,1.0
-3.84,14.06,-1.04,5.0
-10.62,22.38,-3.04,1.0
14.62,69.88,5.26,1.0
30.46,76.09,10.23,1.0
-2.35,13.26,-0.58,5.0
-7.84,19.27,-2.21,1.0
-21.28,74.69,-5.75,1.0
50.95,99.64,16.81,1.0
-3.55,72.53,-0.3,1.0
-2.57,15.07,-0.62,5.0
-72.96,47.47,-21.96,1.0
-40.41,83.34,-11.5,1.0
-10.22,65.65,-2.39,1.0
-4.8,14.03,-1.32,5.0
69.86,115.87,22.82,1.0
-3.78,13.65,-1.0,5.0
1.78,77.91,1.46,1.0
-40.38,69.31,-11.63,1.0
-20.38,75.01,-5.38,1.0
-3.33,15.27,-0.84,5.0
-49.08,78.39,-14.2,1.0
-2.46,15.26,-0.57,5.0
16.48,21.07,5.34,1.0
-57.27,63.34,-16.85,1.0
-68.75,43.26,-20.62,1.0
-3.51,14.22,-0.9,5.0
-4.82,14.37,-1.3,5.0
-3.23,14.3,-0.81,5.0
31.05,53.29,10.24,1.0
-17.72,27.79,-5.09,1.0
-30.67,15.39,-9.24,1.0
-4.18,13.93,-1.1,1.0
-30.48,15.03,-9.17,1.0
27.93,112.54,10.12,1.0
-17.73,27.67,-5.07,1.0
-3.02,14.22,-0.73,5.0
-3.27,14.48,-0.8,5.0
-2.89,13.5,-0.7,5.0
50.78,114.96,17.23,1.0
1.75,77.35,1.66,1.0
-52.05,37.32,-15.43,1.0
50.83,99.4,17.04,1.0
-3.19,14.1,-0.77,5.0
59.65,114.39,20.04,1.0
-3.73,13.76,-0.93,5.0
-3.52,15.26,-0.84,5.0
1.43,4.47,0.51,1.0
-14.9,74.9,-3.36,1.0
22.53,69.12,8.01,1.0
-3.3,14.01,-0.79,5.0
-3.77,13.56,-0.93,5.0
0.54,10.88,0.34,1.0
-31.74,56.23,-8.81,1.0
-75.18,42.8,-22.31,1.0
50.63,99.65,17.19,1.0
-1.87,15.33,-0.31,5.0
-26.3,22.96,-7.65,1.0
-2.24,15.54,-0.42,5.0
-2.76,69.41,0.36,1.0
10.91,94.69,4.97,1.0
-93.83,35.62,-28.06,1.0
-75.4,70.93,-21.79,1.0
-28.48,11.61,-8.49,1.0
-14.88,142.85,-2.03,1.0
-3.89,13.8,-0.94,1.0
50.25,99.94,17.14,1.0
-3.21,13.52,-0.73,5.0
-2.74,15.17,-0.56,5.0
-68.31,49.77,-19.91,1.0
-0.45,9.41,0.03,1.0
2.27,6.82,0.82,1.0
3.71,200.85,4.74,1.0
-11.92,23.87,-3.19,1.0
-31.79,43.71,-8.87,1.0
-2.97,14.06,-0.64,5.0
-4.77,12.27,-1.22,1.0
-2.91,14.66,-0.6,5.0
-23.32,75.76,-5.65,1.0
-3.26,15.33,-0.69,5.0
2.56,74.27,2.23,1.0
22.7,69.01,8.26,1.0
-30.98,14.33,-9.14,1.0
-4.34,14.33,-1.02,5.0
-15.07,13.83,-4.29,1.0
-3.57,14.64,-0.78,5.0
-2.38,15.12,-0.4,5.0
14.55,152.21,7.63,1.0
-4.01,13.74,-0.93,5.0
-82.17,27.63,-24.36,1.0
-4.42,14.46,-1.03,5.0
-2.84,14.35,-0.56,5.0
-58.96,63.85,-16.5,1.0
-31.52,48.67,-8.5,1.0
-4.75,15.36,-1.1,5.0
8.48,70.57,4.12,1.0
23.92,41.33,8.17,1.0
-4.31,14.08,-0.99,5.0
15.95,21.02,5.31,1.0
1.91,77.59,2.32,1.0
-59.56,11.23,-17.79,1.0
-3.27,15.66,-0.64,5.0
-2.98,15.04,-0.56,5.0
105.92,65.74,33.6,1.0
-40.71,68.95,-10.7,1.0
-3.5,15.31,-0.7,5.0
-3.04,14.79,-0.57,5.0
-3.87,15.09,-0.81,5.0
42.5,114.05,15.59,1.0
-43.58,19.95,-12.67,1.0
-31.58,48.76,-8.34,1.0
-3.37,14.71,-0.66,5.0
-2.96,14.28,-0.54,5.0
-40.93,69.33,-10.65,1.0
103.94,180.57,35.77,1.0
-17.1,44.18,-4.07,1.0
-59.73,48.7,-16.8,1.0
-9.83,26.03,-2.31,1.0
-1.21,11.73,-0.07,1.0
1.89,6.94,0.75,1.0
-3.38,14.92,-0.64,5.0
1.91,7.03,0.76,1.0
-4.06,14.04,-0.85,5.0
24.14,40.98,8.35,1.0
-3.35,14.67,-0.62,5.0
-4.24,14.09,-0.9,5.0
-2.22,14.51,-0.28,5.0
-3.39,13.83,-0.64,5.0
-3.12,13.53,-0.57,5.0
-36.81,24.09,-10.4,1.0
-4.53,14.8,-0.96,5.0
-18.53,3.22,-5.48,1.0
-7.34,11.45,-1.89,1.0
53.75,111.79,19.26,1.0
12.81,70.25,5.81,1.0
-30.25,67.2,-7.2,7.0
10.23,203.83,8.73,1.0
-47.59,38.99,-13.16,1.0
16.72,27.67,5.81,1.0
10.11,202.76,8.93,1.0
2.68,49.0,2.22,1.0
-0.02,14.42,0.41,1.0
-3.49,14.36,-0.62,5.0
1.99,74.28,2.83,1.0
-7.51,19.5,-1.66,1.0
-2.3,15.08,-0.23,5.0
-17.16,44.53,-3.79,1.0
12.65,97.63,6.75,1.0
16.25,21.3,5.51,1.0
-2.84,15.59,-0.36,5.0
-82.83,28.77,-23.84,1.0
-3.06,15.74,-0.42,5.0
-81.04,30.36,-23.22,1.0
14.9,18.11,5.02,1.0
-19.57,202.43,0.6,1.0
-31.15,14.83,-8.82,1.0
-3.68,14.63,-0.63,5.0
-99.81,99.74,-26.6,1.0
-2.97,13.99,-0.43,5.0
-3.9,14.53,-0.69,5.0
-7.26,11.51,-1.79,1.0
42.89,113.72,16.5,1.0
-190.61,86.82,-53.91,1.0
23.54,41.38,8.35,1.0
23.66,41.3,8.41,1.0
-3.71,14.79,-0.61,5.0
14.91,63.93,6.58,1.0
-38.06,21.2,-10.61,1.0
20.33,58.64,8.03,1.0
-2.69,13.3,-0.34,5.0
5.35,85.13,4.52,1.0
-3.06,15.34,-0.38,5.0
-4.3,9.3,-0.95,1.0
1.44,7.27,0.68,1.0
16.0,21.21,5.49,1.0
-80.62,25.79,-23.03,1.0
-26.9,12.49,-7.54,1.0
-18.74,75.35,-2.91,1.0
-2.38,14.5,-0.18,5.0
-53.75,33.48,-14.72,1.0
-2.79,14.42,-0.3,5.0
-19.51,62.19,-3.51,1.0
0.46,76.66,2.91,1.0
34.69,88.88,13.51,1.0
-20.91,66.71,-3.76,1.0
-19.01,81.14,-2.66,1.0
-137.13,92.98,-37.06,1.0
84.52,59.67,27.1,1.0
-4.22,14.1,-0.71,1.0
-51.0,48.94,-13.17,1.0
-4.47,15.43,-0.73,5.0
64.71,52.55,21.12,1.0
-3.73,14.49,-0.54,5.0
29.25,61.55,11.01,1.0
-78.42,45.89,-21.33,1.0
-70.57,36.99,-19.36,1.0
-43.39,69.01,-10.09,1.0
-3.25,15.02,-0.37,5.0
0.81,11.36,0.68,1.0
-31.29,41.97,-7.57,1.0
-2.86,15.83,-0.22,5.0
-31.57,45.87,-7.44,1.0
-4.29,13.52,-0.72,5.0
17.71,58.78,7.56,1.0
0.79,77.24,3.34,1.0
-3.68,14.63,-0.5,5.0
-78.45,45.84,-21.23,1.0
-50.03,34.08,-13.35,1.0
-28.4,23.16,-7.42,1.0
-30.89,65.12,-6.46,1.0
-7.99,19.32,-1.57,1.0
-49.91,48.86,-12.7,1.0
-24.59,144.12,-1.4,1.0
34.21,89.23,13.67,1.0
-3.75,14.63,-0.51,5.0
-2.98,13.51,-0.33,5.0
-5.08,14.92,-0.88,5.0
-4.63,15.02,-0.74,5.0
-8.18,19.32,-1.6,1.0
35.12,84.75,13.9,1.0
15.96,21.51,5.59,1.0
-1.99,15.01,0.05,5.0
-4.47,13.62,-0.73,5.0
18.39,57.66,7.84,1.0
-33.65,15.72,-9.18,6.0
50.05,112.64,19.5,1.0
-38.16,16.02,-10.49,1.0
34.21,89.27,13.85,1.0
-48.7,18.23,-13.47,1.0
-2.64,14.8,-0.13,5.0
-25.67,143.85,-1.24,1.0
91.62,182.67,34.76,1.0
5.15,84.74,5.27,1.0
69.64,111.56,25.2,1.0
-30.85,65.21,-6.1,1.0
9.7,71.8,6.04,1.0
-24.89,73.09,-3.97,1.0
-5.31,15.23,-0.86,5.0
-2.76,13.96,-0.17,5.0
-3.22,14.12,-0.29,5.0
43.59,113.27,17.9,1.0
-6.57,11.95,-1.37,1.0
-33.96,65.6,-6.88,1.0
-3.27,13.74,-0.32,5.0
9.9,9.3,3.31,1.0
34.03,88.95,14.03,1.0
-5.66,13.87,-1.01,1.0
-3.21,13.65,-0.3,5.0
-33.97,16.14,-9.14,6.0
66.22,87.87,23.37,1.0
-3.44,14.52,-0.33,5.0
-3.18,13.72,-0.29,5.0
0.46,76.01,3.68,1.0
0.96,76.79,3.88,1.0
-96.51,39.4,-26.19,1.0
-29.03,37.34,-6.67,1.0
15.48,14.25,5.17,1.0
1.06,77.18,3.97,1.0
-34.0,65.44,-6.76,1.0
0.41,13.84,0.78,1.0
-96.48,39.46,-26.13,1.0
25.3,49.05,9.69,1.0
0.92,77.21,3.99,1.0
-33.47,16.23,-8.92,6.0
-1.97,17.01,0.25,1.0
-0.05,14.29,0.69,1.0
-36.06,65.12,-7.22,1.0
45.01,113.51,18.69,1.0
-48.88,50.46,-11.65,1.0
-3.65,14.44,-0.34,5.0
-32.21,136.72,-2.51,1.0
7.27,73.45,5.77,1.0
-0.02,76.5,3.82,1.0
-41.4,118.53,-6.03,1.0
-3.98,15.53,-0.37,5.0
0.78,76.65,4.11,1.0
-3.97,15.49,-0.37,5.0
-2.21,73.42,3.07,1.0
1.69,76.66,4.41,1.0
-34.56,14.75,-9.22,6.0
-2.94,13.18,-0.17,5.0
30.45,89.34,13.38,1.0
-4.85,14.7,-0.64,5.0
2.18,79.86,4.75,1.0
-2.82,13.79,-0.1,5.0
-57.06,131.38,-9.59,1.0
14.14,62.31,7.37,1.0
35.18,84.8,14.61,1.0
-63.84,64.33,-14.97,1.0
2.61,80.03,5.03,1.0
15.29,14.11,5.15,1.0
-4.44,15.41,-0.44,5.0
-34.44,15.29,-9.06,6.0
-20.72,53.83,-3.03,1.0
-28.08,16.07,-7.17,1.0
-29.68,11.74,-7.87,1.0
-3.67,14.82,-0.24,5.0
-4.73,12.92,-0.64,1.0
-33.79,15.55,-8.82,6.0
-34.08,14.14,-8.98,6.0
-16.77,82.03,-0.24,1.0
9.25,70.79,6.6,1.0
8.6,71.11,6.47,1.0
-8.92,20.14,-1.41,1.0
-45.79,69.53,-9.17,1.0
-17.66,37.31,-2.94,1.0
-63.7,63.91,-14.64,1.0
3.42,77.86,5.42,1.0
-90.38,157.0,-16.84,1.0
-3.4,15.09,-0.11,5.0
-34.17,15.01,-8.9,6.0
-70.28,51.71,-17.05,1.0
23.93,86.99,11.84,1.0
-70.28,51.68,-17.0,1.0
-4.14,10.68,-0.56,5.0
-76.16,67.63,-17.8,1.0
-21.91,50.05,-3.34,1.0
-34.06,15.78,-8.8,6.0
-34.3,14.09,-8.96,6.0
-4.48,10.67,-0.65,5.0
-20.41,74.81,-1.43,1.0
-35.06,14.87,-9.11,6.0
4.47,46.19,4.01,1.0
6.97,73.33,6.34,1.0
-62.37,48.64,-14.83,1.0
-105.88,86.01,-24.95,1.0
-61.12,24.61,-15.9,1.0
-32.3,221.3,4.22,1.0
-31.13,66.73,-4.83,1.0
-38.56,22.69,-9.57,1.0
0.36,75.89,4.76,1.0
-9.34,26.24,-1.05,1.0
-34.24,15.98,-8.74,6.0
3.3,78.02,5.73,1.0
1.64,70.89,4.82,1.0
-6.16,12.68,-0.97,1.0
0.9,76.34,4.99,1.0
26.51,70.38,11.9,1.0
-60.94,24.95,-15.68,1.0
-34.48,15.67,-8.77,6.0
-24.62,73.54,-2.34,1.0
-15.55,26.33,-2.75,1.0
-31.74,144.35,0.17,1.0
-3.71,16.15,-0.02,5.0
-53.13,16.0,-14.0,1.0
-35.16,15.7,-8.93,6.0
-45.53,41.12,-10.24,1.0
-2.67,14.12,0.15,5.0
19.47,134.03,14.03,1.0
-4.21,15.05,-0.23,5.0
-9.75,13.09,-1.91,1.0
1.44,2.09,0.54,1.0
-34.15,14.58,-8.7,6.0
-196.54,118.06,-47.82,1.0
-4.69,15.0,-0.35,5.0
-7.13,11.84,-1.24,1.0
-11.89,9.92,-2.7,1.0
-38.66,56.36,-7.21,1.0
-34.06,15.45,-8.58,6.0
-2.72,15.21,0.23,5.0
-61.11,24.58,-15.6,1.0
-2.94,7.12,-0.36,1.0
-9.08,20.1,-1.23,1.0
-64.17,63.13,-13.83,1.0
-15.41,26.24,-2.58,1.0
0.03,70.27,4.7,1.0
-34.01,15.42,-8.51,6.0
-15.56,26.3,-2.6,1.0
-34.12,15.37,-8.54,6.0
0.2,50.57,3.49,1.0
-31.0,16.77,-7.55,1.0
-34.31,14.94,-8.6,6.0
-33.58,15.07,-8.39,6.0
4.91,97.98,8.04,1.0
-3.73,14.93,-0.03,5.0
49.43,49.79,17.25,1.0
-30.95,16.76,-7.53,1.0
-3.66,13.9,-0.08,5.0
19.11,44.32,8.39,1.0
-35.12,15.82,-8.74,6.0
34.14,87.68,15.59,1.0
-30.0,223.2,7.13,1.0
-3.9,15.55,-0.02,5.0
-4.24,15.04,-0.14,5.0
-15.58,26.6,-2.51,1.0
-3.6,13.84,-0.05,5.0
5.19,85.42,7.4,1.0
-14.13,40.82,-1.09,1.0
-28.94,37.38,-5.47,1.0
-13.99,64.03,0.58,1.0
-0.42,50.91,3.47,1.0
-4.93,14.74,-0.34,5.0
1.85,7.32,1.03,1.0
29.54,93.82,14.87,1.0
-4.78,91.03,5.11,1.0
-0.4,50.85,3.49,1.0
10.43,71.92,8.04,1.0
10.08,9.24,3.47,1.0
-42.35,66.52,-7.02,1.0
1.88,7.38,1.06,1.0
-3.18,13.67,0.1,1.0
-147.2,69.58,-35.9,1.0
-3.51,13.71,0.02,5.0
-77.52,84.7,-15.32,1.0
0.9,8.88,0.9,1.0
-3.44,13.52,0.03,5.0
-33.69,15.2,-8.25,6.0
-77.02,84.33,-15.25,1.0
-3.18,13.28,0.09,5.0
-4.89,14.87,-0.27,5.0
-65.74,136.74,-8.24,1.0
-37.39,61.79,-5.83,1.0
-35.36,16.08,-8.63,6.0
-37.16,61.44,-5.78,1.0
-17.32,27.29,-2.78,1.0
-17.26,27.27,-2.76,1.0
-54.06,16.99,-13.72,1.0
-75.38,62.91,-16.21,1.0
-4.24,10.6,-0.38,5.0
-7.98,16.59,-0.97,2.0
44.81,114.21,20.97,1.0
-2.87,13.73,0.23,5.0
-35.3,15.97,-8.58,6.0
78.86,102.81,29.53,1.0
-1.4,12.47,0.55,1.0
-2.88,13.73,0.23,5.0
23.3,43.83,9.75,1.0
-77.44,55.18,-17.27,1.0
-35.12,16.29,-8.49,6.0
0.59,69.49,5.41,1.0
0.03,70.54,5.35,1.0
8.07,71.19,7.62,1.0
-3.76,14.43,0.05,5.0
-21.81,77.8,-0.14,1.0
-35.07,16.3,-8.46,6.0
-4.55,10.69,-0.45,5.0
-38.03,26.31,-8.52,1.0
22.89,43.61,9.64,1.0
-3.1,13.57,0.17,1.0
-6.59,69.27,3.45,1.0
-16.17,31.99,-2.03,1.0
-4.38,10.8,-0.39,5.0
-144.69,94.61,-32.74,1.0
-3.68,14.98,0.13,5.0
-34.36,13.98,-8.41,6.0
-34.42,15.11,-8.34,6.0
-66.62,136.21,-7.91,1.0
-3.83,15.3,0.12,5.0
-92.53,85.71,-18.92,1.0
-68.3,133.85,-8.51,1.0
-70.52,96.37,-11.93,1.0
5.54,73.56,7.22,1.0
-13.25,26.84,-1.57,1.0
-57.43,140.47,-4.9,1.0
-6.76,15.36,-0.67,1.0
69.73,112.47,27.95,1.0
-34.32,13.94,-8.35,6.0
4.67,98.22,8.99,1.0
-3.8,14.66,0.11,5.0
-50.09,48.52,-9.95,1.0
-49.96,48.55,-9.91,1.0
18.13,72.81,10.73,1.0
-82.01,46.07,-18.91,1.0
-3.74,14.39,0.11,5.0
-1.9,10.87,0.34,1.0
-24.36,88.88,0.38,1.0
0.23,74.72,6.05,1.0
-35.79,16.19,-8.53,6.0
-13.22,26.83,-1.48,1.0
-3.34,14.41,0.24,5.0
-59.34,20.89,-14.59,1.0
0.83,8.94,0.95,1.0
17.75,45.11,8.52,1.0
2.86,76.6,6.97,1.0
18.27,72.69,10.87,1.0
-54.35,32.46,-12.26,1.0
22.82,71.22,12.02,1.0
-33.88,14.57,-8.09,6.0
-54.34,32.51,-12.22,1.0
-33.92,15.31,-8.02,6.0
12.81,71.76,9.41,1.0
-36.54,66.93,-4.46,1.0
-35.25,15.91,-8.31,6.0
-3.13,13.85,0.29,5.0
-141.82,89.31,-31.33,1.0
-3.83,14.33,0.14,5.0
23.52,42.52,9.94,1.0
-15.84,22.22,-2.47,1.0
-0.26,48.92,4.01,1.0
12.41,51.33,7.67,1.0
-82.22,45.86,-18.58,1.0
22.99,43.86,9.94,1.0
-15.89,22.19,-2.47,1.0
-33.96,15.33,-7.97,6.0
-23.65,40.9,-3.01,1.0
-49.47,48.49,-9.4,1.0
-9.44,69.72,3.29,1.0
-66.18,136.86,-6.46,1.0
-33.72,15.0,-7.9,6.0
-47.89,18.36,-11.46,1.0
-4.45,10.57,-0.31,5.0
-6.98,73.89,4.39,1.0
-8.05,16.33,-0.8,2.0
-4.64,73.75,5.04,1.0
-33.62,15.09,-7.84,6.0
-26.34,91.96,0.73,1.0
0.09,14.19,1.24,1.0
69.56,63.69,24.39,1.0
-144.56,84.46,-31.97,1.0
22.83,43.85,9.99,1.0
-8.12,16.42,-0.78,2.0
0.35,73.97,6.53,1.0
-9.2,71.2,3.75,1.0
65.59,53.65,22.44,1.0
-43.41,66.07,-5.99,1.0
-43.69,34.95,-8.77,1.0
-39.73,54.35,-6.01,1.0
-17.48,27.28,-2.33,1.0
-71.1,136.88,-7.15,1.0
-66.33,63.19,-12.34,1.0
17.68,72.89,11.23,1.0
-9.47,13.93,-1.32,1.0
136.02,74.61,43.38,1.0
4.58,68.89,7.39,1.0
34.81,88.7,17.32,1.0
-34.54,14.84,-7.98,6.0
-21.13,65.74,0.2,1.0
-35.71,15.66,-8.22,6.0
50.37,33.06,16.54,1.0
-77.39,54.57,-15.9,1.0
-36.16,140.47,2.93,1.0
-35.49,15.95,-8.11,6.0
-101.29,68.0,-21.09,1.0
17.75,73.0,11.41,1.0
-36.37,141.35,3.08,1.0
33.15,76.13,15.81,1.0
22.75,44.14,10.14,1.0
-35.28,16.39,-7.98,6.0
-53.38,50.42,-9.7,1.0
-21.76,73.88,0.94,1.0
2.43,49.68,5.21,1.0
-16.91,22.32,-2.47,1.0
-33.87,14.68,-7.73,6.0
26.84,99.75,16.42,1.0
-21.83,74.08,1.0,1.0
-34.36,14.83,-7.84,6.0
11.77,12.14,4.28,1.0
-0.21,73.85,6.85,1.0
-8.97,71.26,4.26,1.0
-39.64,24.07,-8.35,1.0
-4.11,14.25,0.24,5.0
-15.88,22.15,-2.17,1.0
-8.72,16.03,-0.83,2.0
-18.73,26.66,-2.5,1.0
-53.67,65.11,-8.23,1.0
-64.72,135.46,-4.57,1.0
-34.33,15.06,-7.76,6.0
6.35,43.79,5.83,1.0
0.7,73.67,7.16,1.0
-22.22,52.32,-0.98,1.0
-34.93,13.81,-8.02,6.0
-35.3,16.72,-7.84,6.0
0.09,74.23,7.12,1.0
-62.1,49.58,-11.83,1.0
-34.81,15.05,-7.84,6.0
-3.38,14.96,0.53,5.0
-4.33,10.84,-0.12,5.0
-82.12,45.2,-17.54,1.0
10.94,203.56,22.42,1.0
0.38,75.06,7.34,1.0
-14.65,28.07,-1.19,1.0
-27.98,25.59,-4.97,1.0
-35.23,16.63,-7.76,6.0
-34.71,15.51,-7.72,6.0
-28.53,21.67,-5.48,1.0
-22.37,38.47,-2.19,1.0
-8.69,15.54,-0.79,2.0
-3.96,14.37,0.35,5.0
-28.12,22.22,-5.28,1.0
-48.04,46.96,-8.13,1.0
-34.04,14.57,-7.6,6.0
-34.87,15.35,-7.74,6.0
-4.1,12.76,0.17,1.0
-0.12,74.47,7.3,1.0
-88.82,37.09,-19.9,1.0
-33.12,14.71,-7.33,6.0
-8.71,14.15,-0.9,1.0
-0.69,73.96,7.19,1.0
-34.13,12.32,-7.8,1.0
-33.69,14.46,-7.47,6.0
6.25,43.56,6.0,1.0
21.38,81.83,13.83,1.0
-34.25,14.93,-7.56,6.0
-3.06,14.81,0.68,5.0
-34.53,15.58,-7.56,6.0
11.82,49.93,8.15,1.0
-30.13,35.97,-4.33,1.0
-29.55,37.17,-4.03,1.0
-26.01,36.92,-3.14,2.0
-9.4,13.73,-1.09,1.0
-35.73,15.18,-7.89,6.0
-35.33,16.05,-7.69,6.0
-10.12,13.4,-1.31,1.0
-4.42,10.51,-0.1,5.0
-34.23,14.75,-7.52,6.0
-67.73,63.24,-11.42,1.0
-34.73,14.09,-7.72,6.0
-26.11,37.5,-3.05,2.0
-25.98,37.06,-3.05,2.0
-29.86,36.92,-4.08,1.0
-25.06,41.58,-2.33,1.0
-41.17,137.96,3.28,1.0
-35.52,15.34,-7.77,6.0
-36.01,15.57,-7.87,6.0
-55.87,49.67,-9.58,1.0
5.5,84.45,10.17,1.0
-34.77,14.72,-7.62,6.0
-26.7,37.46,-3.16,2.0
-87.09,33.02,-19.49,1.0
-33.36,14.7,-7.25,6.0
-1.24,47.02,4.53,1.0
21.98,124.79,18.61,1.0
21.02,81.96,13.99,1.0
-34.91,15.14,-7.61,6.0
-2.95,14.55,0.73,5.0
44.89,110.65,23.25,1.0
-58.92,48.59,-10.44,1.0
-27.22,36.39,-3.37,1.0
-0.17,73.87,7.62,1.0
-74.82,64.55,-12.92,1.0
-5.79,13.4,-0.12,1.0
0.97,72.88,7.89,7.0
-33.56,14.66,-7.27,6.0
-20.45,32.01,-2.02,1.0
-35.08,15.29,-7.6,6.0
-4.06,10.58,0.04,5.0
-28.06,22.52,-4.98,1.0
-34.59,15.9,-7.38,6.0
-35.88,15.55,-7.76,6.0
-30.6,36.03,-4.22,1.0
80.67,59.02,27.31,1.0
11.69,11.35,4.26,1.0
7.69,73.64,9.78,1.0
-96.99,113.14,-13.44,2.0
43.53,91.36,21.02,1.0
-34.73,17.03,-7.29,6.0
-34.29,14.98,-7.39,6.0
-33.82,14.57,-7.3,6.0
0.33,73.64,7.91,7.0
-30.0,37.06,-3.9,1.0
-30.58,36.49,-4.1,1.0
-35.73,15.88,-7.64,6.0
33.35,88.28,18.12,1.0
-0.38,14.33,1.43,1.0
0.45,72.36,7.85,7.0
-28.29,21.96,-5.04,1.0
-16.34,21.99,-1.91,1.0
-25.36,41.82,-2.14,1.0
-26.45,37.41,-2.89,2.0
-36.53,15.76,-7.84,6.0
-26.57,37.57,-2.9,2.0
80.66,59.56,27.4,1.0
-6.16,13.36,-0.17,1.0
32.93,87.87,18.04,1.0
-26.07,37.42,-2.77,2.0
79.71,65.92,27.88,1.0
-58.66,56.99,-9.15,1.0
-8.5,14.63,-0.64,1.0
-33.78,14.59,-7.23,6.0
-34.79,14.23,-7.53,6.0
-36.15,15.27,-7.76,6.0
-66.37,96.18,-6.92,1.0
-30.75,36.44,-4.05,1.0
8.62,71.21,9.97,1.0
-58.74,56.98,-9.1,1.0
-26.89,37.45,-2.93,2.0
1.13,4.62,0.8,1.0
-60.36,141.56,-0.31,1.0
-51.59,61.46,-6.73,1.0
-35.75,15.46,-7.61,6.0
-94.62,116.18,-11.97,1.0
32.51,88.04,18.04,1.0
-33.95,14.46,-7.25,6.0
-9.03,14.27,-0.79,1.0
2.24,72.26,8.47,7.0
0.93,73.54,8.23,7.0
-37.63,11.58,-8.51,1.0
-3.96,14.12,0.52,5.0
1.44,50.53,5.91,1.0
-77.87,194.92,1.14,1.0
-97.31,113.03,-12.87,2.0
-29.32,74.39,0.56,1.0
11.49,11.67,4.26,1.0
0.7,128.05,14.32,1.0
-97.16,112.89,-12.78,2.0
-25.1,37.66,-2.37,2.0
21.99,44.5,10.6,1.0
-34.59,15.37,-7.28,6.0
-0.02,71.56,7.88,7.0
-30.56,36.08,-3.95,1.0
4.8,71.47,9.13,1.0
0.37,73.26,8.21,7.0
-26.36,37.27,-2.71,2.0
-35.47,118.56,3.96,1.0
-96.81,111.88,-12.81,2.0
-28.51,22.12,-4.94,1.0
-26.67,116.12,5.98,1.0
-28.23,22.17,-4.84,1.0
-28.98,21.71,-5.09,1.0
-30.7,36.66,-3.87,1.0
-30.1,37.08,-3.67,1.0
-35.99,15.68,-7.57,6.0
-134.55,99.16,-23.79,2.0
-48.49,46.43,-7.38,1.0
-25.38,37.17,-2.42,2.0
-34.79,15.1,-7.31,6.0
-28.1,22.33,-4.78,1.0
-104.0,102.42,-15.47,1.0
103.75,81.51,35.9,1.0
-34.88,14.2,-7.43,6.0
1.02,72.82,8.41,7.0
-33.9,16.47,-6.92,6.0
-0.33,14.31,1.52,1.0
-28.01,22.28,-4.74,1.0
-34.66,15.16,-7.26,6.0
-9.85,13.41,-1.04,1.0
-5.32,20.42,0.93,1.0
-35.07,15.04,-7.35,6.0
-77.83,194.3,1.79,1.0
-97.51,113.1,-12.4,2.0
-12.61,67.7,4.38,1.0
-33.52,14.65,-6.99,6.0
-36.03,15.64,-7.52,6.0
-53.9,148.59,2.91,1.0
0.54,73.96,8.53,7.0
0.38,71.72,8.25,7.0
-102.45,43.35,-21.5,1.0
-35.3,15.19,-7.38,6.0
-31.48,35.99,-4.03,1.0
67.63,103.38,29.15,1.0
-53.5,49.19,-8.2,1.0
34.21,75.96,17.42,1.0
-26.39,37.12,-2.57,2.0
-25.77,17.9,-4.59,1.0
-30.22,37.05,-3.56,1.0
-97.98,111.55,-12.51,2.0
-28.41,22.4,-4.76,1.0
-34.44,14.87,-7.17,6.0
-4.0,14.54,0.63,5.0
-34.67,15.2,-7.18,6.0
-35.16,40.08,-4.43,1.0
-97.68,110.23,-12.5,2.0
-105.57,93.45,-16.45,1.0
-35.88,15.56,-7.44,6.0
-8.26,15.92,-0.3,2.0
-31.58,36.0,-3.96,1.0
-35.59,15.86,-7.33,6.0
-15.21,21.18,-1.48,1.0
-35.03,16.77,-7.07,6.0
-96.58,111.29,-11.99,2.0
-16.98,23.63,-1.63,1.0
-53.41,48.98,-8.06,1.0
-34.96,16.81,-7.02,6.0
17.96,79.8,13.84,1.0
-28.36,25.76,-4.29,1.0
-36.06,15.67,-7.43,6.0
-2.86,14.67,0.97,5.0
-0.9,72.29,8.16,7.0
32.68,88.72,18.7,1.0
-34.98,15.76,-7.13,6.0
69.17,111.16,30.63,1.0
-36.02,15.57,-7.42,6.0
-33.89,13.73,-7.08,6.0
-31.25,35.73,-3.84,1.0
1.44,72.91,8.87,7.0
-19.82,66.12,2.64,1.0
-97.08,111.24,-11.86,2.0
-28.23,21.92,-4.67,1.0
-3.93,14.18,0.65,5.0
-117.83,35.22,-26.04,1.0
-28.15,23.97,-4.4,1.0
6.13,73.25,10.16,1.0
80.15,59.29,27.44,1.0
-26.29,37.29,-2.34,2.0
14.23,85.83,13.73,1.0
